prompt,response
Where can we transfer or move at the Kuningan Timur stop?,"4H (Corridor 4H) 4D 6 13 (Corridor 13E), MetroTrans/MiniTrans: 4H Pulo Gadung 2-Ragunan, 6F Manggarai Station-Ragunan, 6H Lebak Bulus-Senen, 6M Manggarai Station-Blok M, DA3 MRT Dukuh Atas-East Kuningan, RoyalTrans: B14 Summarecon Bekasi-Setiabudi Utara-AINI, D31 Limo-Setiabudi Utara-AINI, 6P Cibubur Junction-Setiabudi Utara-AINI



Kuningan Barat: 9 9A 9B 9C 9 (Corridor 9M) 13 (Corridor 13E), MetroTrans/MiniTrans: 9D Pasar Minggu-Tanah Abang, Suburban Express: B11 Summarecon Bekasi-Tosari, B21 Bekasi-Grogol 2 (via East Bekasi), RoyalTrans: 6P Cibubur Junction-Setiabudi Utara-AINI, B14 Summarecon Bekasi-Setiabudi Utara-AINI"
Where can we transfer or move at the Pluit stop?,"MetroTrans/MiniTrans: 9F Tambora-Pluit Rusun, 12B Pluit-Senen."
Where can we transfer or move at the Penjaringan stop?,"MetroTrans/MiniTrans: 1A PIK-Balai Kota, 3D Penjaringan-Rawa Buaya, 9F Rusun Tambora-Pluit, 12A Kota-Kaliadem, 12C Rusun Muara Baru-Penjaringan"
Where can we transfer or move at the Jembatan Tiga stop?,MetroTrans/MiniTrans: 9F Tambora Residences-Pluit
Where can we transfer or move at the Jembatan Dua stop?,MetroTrans/MiniTrans: 9F Tambora Residences-Pluit
Where can we transfer or move at the Jembatan Besi stop?,MetroTrans/MiniTrans: 9F Tambora Residences-Pluit
Where can we transfer or move at the Latumeten Grogol station stop?,MetroTrans/MiniTrans: 9F Tambora Residences-Pluit
Where can we transfer or move at the Grogol 2 stop?,"1F-Dalamtingkat, 8A-Koridor Delapan A, 9-Koridor Sembilan, 9K-Koridor Sembilan K, MetroTrans/MiniTrans: 4A-Terminal Utama Gas-Grogol 2, 8K-Kebon Jeruk-Tanah Abang, 9E-Pasar Kebayoran Lama-Grogol 2, Suburban Express: B21-Bekasi-Grogol 2 (melalui Bekasi Timur), S11-BSD City-Grogol 2, T12-Poris Plawad-Juanda, RoyalTrans: Kalideres-Bekasi (melalui Bekasi Timur), Grogol-Bekasi (melalui Bekasi Timur), Grogol 1: 2A 2D 3 8, MetroTrans/MiniTrans: 5A-Kampung Melayu-Grogol 1, Jak Lingko: JAK 4-Grogol-Jelambar."
Where can we transfer or move at the S. Parman Podomoro City stop?,"MetroTrans/MiniTrans: 4A TU Gas-Grogol 2, 8K Kebon Jeruk-Tanah Abang, 9E Pasar Kebayoran Lama-Grogol 2, Suburban Express: B21 Bekasi-Grogol 2 (via Bekasi Timur), S11 BSD City-Grogol 2, T12 Poris Plawad-Juanda"
Where can we transfer or move at the RS Harapan Kita stop?,"MetroTrans/MiniTrans: 4A TU Gas-Grogol 2
Suburban Express: B21 Bekasi-Grogol 2 (via Bekasi Timur)
T11 Poris Plawad-Bundaran Senayan"
Where can we transfer or move at the Slipi Kemanggisan stop?,"MetroTrans/MiniTrans: 4A TU Gas-Grogol 2
Suburban Express: B21 Bekasi-Grogol 2 (via Bekasi Timur)
T11 Poris Plawad-Bundaran Senayan"
Where can we transfer or move at the Slipi Petamburan stop?,"MetroTrans/MiniTrans: 4A TU Gas-Grogol 2, 9E Pasar Kebayoran Lama-Grogol 2, Suburban Express: B21 Bekasi-Grogol 2 (via Bekasi Timur), T11 Poris Plawad-Bundaran Senayan, S41 Pondok Cabe-Tanah Abang"
Where can we transfer or move at the Senayan JCC stop?,"MetroTrans/MiniTrans: 1B Palmerah Station-Tosari, 1F Palmerah Station-Senayan Circle, 4A TU Gas-Grogol 2, Suburban Express: B21 Bekasi-Grogol 2 (via East Bekasi), T11 Poris Plawad-Senayan Circle."
Where can we transfer or move at the Semanggi stop?,"Bendungan Hilir: 1 4 (Corridor 4C) 13 (Corridor 13C), MetroTrans/MiniTrans: 1P Senen-Senayan Roundabout, 4C Gas Station-Senayan Roundabout, S21 Ciputat-Tosari, 13C Puri Beta-Tosari (Monday-Friday)"
Where can we transfer or move at the Cawang UKI (Direction Pluit) stop?,"MetroTrans/MiniTrans: 7C Cibubur Junction-BKN, Suburban Express: B11 Summarecon Bekasi-Tosari, B22 Bekasi-Juanda (via Bekasi Timur), D11 Depok-BKN"
Where can we transfer or move at the PGC 2 stop?,"The sentence you've provided is incomplete. Could you please provide the complete sentence, and I will be happy to translate it for you? Thank you!"
Where can we transfer or move at the Puri Beta 1 stop?,"13, 13A Ciledug-Blok M
13, 13A Ciledug-Blok M

13B Ciledug-Pancoran Barat
13B Ciledug-Pancoran Barat

13D Ciledug-Ragunan
13D Ciledug-Ragunan"
Where can we transfer or move at the Masjid Agung stop?,"1. MetroTrans/MiniTrans: 6M Manggarai Station-Blok M
2. Suburban Express: S21 Ciputat-Tosari
3. RoyalTrans: B13 Summarecon Bekasi-Blok M
4. 1K Cibubur Junction-Blok M"
What public transportation is connected or accessible from the Harmoni Sentral stop?,"PPD: P02, P157, NE02, Mayasari Bakti: P7, Bianglala: AC57

PPD: P02, P157, NE02, Mayasari Bakti: P7, Bianglala: AC57"
What public transportation is connected or accessible from the Pecenongan stop?,"PPD: P02, P157, NE02, Mayasari Bakti: AC116, P7, AJA P: AC106, P106, ARH: P100, Jasa Utama: P125

PPD: P02, P157, NE02, Mayasari Bakti: AC116, P7, AJA P: AC106, P106, ARH: P100, Jasa Utama: P125"
What public transportation is connected or accessible from the Juanda stop?,"KRL Jabotabek at Juanda Station, PPD: P02, P157, NE02, Mayasari Bakti: AC116, P7, AJA P: AC106, P106, ARH: P100, Jasa Utama: P125"
What public transportation is connected or accessible from the Pasar Baru (Direction PGC) stop?,"Metromini: P15
Kopaja: U27
PPD: P02, P157, NE02
Bianglala: AC44
Mayasari Bakti: AC116, AC63, P7
AJA P: AC106, P106
ARH: P100
Jasa Utama: P125"
What public transportation is connected or accessible from the Pal Putih stop?,"Metromini: P15, P17, Mayasari Bakti: AC35, AC62, AC63, AC122, P9A, Bianglala: AC76, PPD: P02, P67, NE02"
What public transportation is connected or accessible from the Kramat Sentiong NU stop?,"KRL Jabotabek at Gang Sentiong Station, Metromini: P17, Mayasari Bakti: AC35, AC62, AC63, AC122, P9A, Bianglala: AC76, PPD: P02, P67, NE02"
What public transportation is connected or accessible from the Salemba UI stop?,"KRL Jabotabek at Kramat Station, Mayasari Bakti: AC35, AC62, AC63, AC122, P9A, Bianglala: AC76, PPD: P02, P67, NE02."
What public transportation is connected or accessible from the Salemba Carolus stop?,"KRL Jabotabek at Kramat Station, Mayasari Bakti: AC35, AC62, AC63, AC122, P9A, Bianglala: AC76, PPD: P02, P67, NE02."
What public transportation is connected or accessible from the Matraman 1 (Direction Harmoni) stop?,"Kopaja: T502, Metromini: T46, T49, PPD: AC11, AC16, NE02, P02, P67, 213, 916, Mayasari Bakti: AC35, AC62, AC63, AC122, P9A, Bianglala: AC76"
What public transportation is connected or accessible from the Tegalan stop?,"Kopaja: T502, Metromini: T46, PPD: P02, 213, 916, Mayasari Bakti: AC122, P9A"
What public transportation is connected or accessible from the Slamet Riyadi stop?,"KRL Jabotabek at Pondok Jati Station, Kopaja: T502, Metromini: T46, PPD: P02, 213, 916, Mayasari Bakti: AC122, P9A."
What public transportation is connected or accessible from the Kebon Pala stop?,"Kopaja: T502, Metromini: S61, T46, PPD: P02, 213, 916, Mayasari Bakti: AC122, P9A

Kopaja: T502, Metromini: S61, T46, PPD: P02, 213, 916, Mayasari Bakti: AC122, P9A"
What public transportation is connected or accessible from the Pasar Jatinegara (Direction PGC) stop?,Current usage has exceeded your plan's limits. Please upgrade to a paid plan at https://sheetgpt.ai/pricing to immediately increase your usage limits.
What public transportation is connected or accessible from the Jatinegara RS Premier (Direction PGC) stop?,"Kopaja: S612, S68, T502, Metromini: S60, S61, T46, T54, T50, T51, T52, T53, T506, PPD: P02, 213, 916."
What public transportation is connected or accessible from the Kampung Melayu (Direction Harmoni) stop?,"Metromini: T50, T51, T52, T53, T54, T506, Kopaja: S612, S61, T502, T503, S68, S612, T505, Koantas Bima: T507, AJA P: AC119, PPD: 916, 213"
What public transportation is connected or accessible from the Bidara Cina stop?,"Metromini: T53, AJA P: AC119

Metromini: T53, AJA P: AC119"
What public transportation is connected or accessible from the Gelanggang Remaja stop?,"Metromini: T53, AJA P: AC119

Metromini: T53, AJA P: AC119"
What public transportation is connected or accessible from the Cawang Otista stop?,"APTB Cibinong-Grogol, Metromini: T53, AJA P: AC119, PPD: 213, Mayasari Bakti: R57, P55, Sinar Jaya AC49 (Pasar Minggu-Bekasi)"
What public transportation is connected or accessible from the BNN stop?,"Metromini: S64, T58, PPD: AC10, AC80, Mayasari Bakti: P02A, R57, Sinar Jaya AC149 (Pasar Minggu-Bekasi)

Metromini: S64, T58, PPD: AC10, AC80, Mayasari Bakti: P02A, R57, Sinar Jaya AC149 (Pasar Minggu-Bekasi)"
What public transportation is connected or accessible from the Cawang UKI stop?,"Kowanbisata: x3, Metromini: S64, T58, PPD: 41, 43, 45, AC10, AC80, Mayasari Bakti: AC117, P98A, P02A, P17, P9BC, P9BA, P9BT, R57, Sinar Jaya: AC141, AC149

Kowanbisata: x3, Metromini: S64, T58, PPD: 41, 43, 45, AC10, AC80, Mayasari Bakti: AC117, P98A, P02A, P17, P9BC, P9BA, P9BT, R57, Sinar Jaya: AC141, AC149"
What public transportation is connected or accessible from the BKN stop?,"Metromini: S64, T58, PPD: 41, 43, 45, Mayasari Bakti: P9BA"
What public transportation is connected or accessible from the PGC 1 stop?,"Metromini: S64, T58, PPD: 41, 43, 45, Mayasari Bakti: P9BA"
What public transportation is connected or accessible from the Kampung Rambutan stop?,"Metromini: T53, S76
Kopaja: T57, S605
Mayasari Bakti: AC02, AC02A, AC70, AC73, AC74A, P98A, P17A, P9B, P9BC, P9BT
DAMRI: Kampung Rambutan-Bandara Soekarno-Hatta
Mikrolet: M56
KWK: T6, T8, T12, T18
Angkot Kota Depok/Kab. Bogor: D37, D112, D121, D121A, Miniarta
Koasi: K06, K28, K28A, K40, K44
Koantas Bima: 509, 510"
What public transportation is connected or accessible from the Tanah Merdeka (Direction Harmoni) stop?,"Metromini: T53, S76
Kopaja: T57, S605
Mayasari Bakti: AC02, AC02A, AC70, AC73, AC74A, AC117, P98A, P17A, P9B, P9BC, P9BT
DAMRI: Kampung Rambutan-Bandara Soekarno-Hatta
Mikrolet: M56
KWK: T3, T6, T19
Angkot Kota Depok/Kab. Bogor: D37, D112, D121, D121A, Miniarta
Koasi: K06, K28, K28A, K40, K44
Koantas Bima: 509, 510"
What public transportation is connected or accessible from the Flyover Raya Bogor stop?,"Metromini: T53, S76
Kopaja: T57, S605
Mayasari Bakti: AC02, AC02A, AC70, AC73, AC74A, AC117, P98A, P17A, P9B, P9BC, P9BT
DAMRI: Kampung Rambutan-Bandara Soekarno-Hatta
Mikrolet: M56
KWK: T3, T6, T19
Angkot Kota Depok/Kab. Bogor: D37, D112, D121
Miniarta, Koasi: K06
Koantas Bima: 509, 510"
What public transportation is connected or accessible from the RS Harapan Bunda stop?,"Kopaja: T57 Koantas Bima: T507, T59, KWK: T2, T3, T4, T6, T8, T9, T11, T12, T13, T14, T15, T15A, T16, Mikrolet: M06, M06A"
What public transportation is connected or accessible from the Pasar Induk Kramat Jati stop?,"Kopaja: T57 Koantas Bima: T507, T59, KWK: T2, T3, T4, T6, T8, T9, T11, T12, T13, T14, T15, T15A, T16, Mikrolet: M06, M06A"
What public transportation is connected or accessible from the Cawang Sutoyo stop?,"Metromini: T58, Mayasari Bakti: AC117, P17, Mikrolet: M04, M19, M29

Metromini: T58, Mayasari Bakti: AC117, P17, Mikrolet: M04, M19, M29"
What public transportation is connected or accessible from the Penas Kalimalang stop?,"Metromini: T58, Mayasari Bakti: AC117, P17A, Mikrolet: M04, M18, M26

Metromini: T58, Mayasari Bakti: AC117, P17A, Mikrolet: M04, M18, M26"
What public transportation is connected or accessible from the Cipinang Kebon Nanas stop?,"Mayasari Bakti: AC117, Mikrolet: M04, M18"
What public transportation is connected or accessible from the Pedati Prumpung stop?,"Mayasari Bakti: AC117, P9A, Mikrolet: M02, M04

Mayasari Bakti: AC117, P9A, Mikrolet: M02, M04"
What public transportation is connected or accessible from the Jatinegara Station stop?,"KRL Jabotabek at Jatinegara Station, Metromini: T50, T506, Mayasari Bakti: AC117, AC122, P9A, Mikrolet: M02, M21, M27"
What public transportation is connected or accessible from the Ahmad Yani Bea Cukai stop?,Mayasari Bakti: AC117
What public transportation is connected or accessible from the Utan Kayu Rawamangun stop?,"Metromini: T46, T47, T49, Mayasari Bakti: AC117, P98A 

Metromini: T46, T47, T49, Mayasari Bakti: AC117, P98A"
What public transportation is connected or accessible from the Pemuda Pramuka stop?,"Metromini: P03, T47, Mayasari Bakti: AC117, DAMRI: Rawamangun-Bandara Soekarno-Hatta
Metromini: P03, T47, Mayasari Bakti: AC117, DAMRI: Rawamangun to Soekarno-Hatta Airport."
What public transportation is connected or accessible from the Kayu Putih Rawasari stop?,"Metromini: P03, T47, DAMRI: Rawamangun-Soekarno-Hatta Airport."
What public transportation is connected or accessible from the Pulomas Bypass stop?,Metromini: P03
What public transportation is connected or accessible from the Cempaka Putih stop?,Metromini: P03
What public transportation is connected or accessible from the Cempaka Timur stop?,"Metromini: P03, P07, T47, x1, x2
Mayasari Bakti: P14, P17A, R507
DAMRI: Kota Harapan Indah-Bandara Soekarno-Hatta, Pulo Gebang-Bandara Soekarno-Hatta
Mikrolet: M53"
What public transportation is connected or accessible from the RS Islam stop?,"Metromini: P01, P03, P05, P07, T47, x1, x2 

Mayasari Bakti: P14, P17A, R507 

Mikrolet: M53"
What public transportation is connected or accessible from the Cempaka Tengah stop?,"Metromini: P01, P03, P05, P07, T47, x1, x2 

Mayasari Bakti: P14, P17A, R507 

Mikrolet: M53"
What public transportation is connected or accessible from the Pasar Cempaka Putih stop?,"Metromini: P01, P03, P05, P07, T47, x1, x2 

Mayasari Bakti: P14, P17A, R507 

Mikrolet: M53"
What public transportation is connected or accessible from the Rawa Selatan stop?,"Metromini: P01, P03, P05, P07, T47, x1, x2 

Mayasari Bakti: P14, P17A, R507 

Mikrolet: M53"
What public transportation is connected or accessible from the Galur stop?,"Metromini: P01, P03, P05, P07, T47, x1, x2. 
Mayasari Bakti: P14, P17, R507. 
Mikrolet: M53."
What public transportation is connected or accessible from the Senen stop?,"KRL Jabotabek at Pasar Senen Station, Kopaja: P20, U27, Metromini: P01, P03, P05, P07, P11, P15, P17, T47, U24, x1, x2, Kopami: P02, P12, Mayasari Bakti: AC122, P9A, P14, P17, R507, AJA P: AC106, PSU: P157 Mikrolet: M01, M01A, M12, M35, M37, M46"
What public transportation is connected or accessible from the Atrium stop?,"MetroTrans/MiniTrans: 1P Senen-Bundaran Senayan, 6H Lebak Bulus-Senen,
Kopaja: P20, U27,
Metromini: P01, P03, P05, P07, P17, T47, x1, x2,
Mayasari Bakti: AC122, P9A, P17,
DSU: P157,
Mikrolet: M01, M01A, M12, M35, M37, M46"
What public transportation is connected or accessible from the RSPAD stop?,"MetroTrans/MiniTrans: 6H Lebak Bulus-Senen, DSU: P157, AJA P: AC106

MetroTrans/MiniTrans: 6H Lebak Bulus-Senen, DSU: P157, AJA P: AC106"
What public transportation is connected or accessible from the Deplu stop?,"MetroTrans/MiniTrans: 6H Lebak Bulus-Senen, DSU: P157, AJA P: AC106

MetroTrans/MiniTrans: 6H Lebak Bulus-Senen, DSU: P157, AJA P: AC106"
What public transportation is connected or accessible from the Gambir 1 stop?,"MetroTrans/MiniTrans: 6H Lebak Bulus-Senen, Metromini: P15, DSU: P157, AJA P: AC106

MetroTrans/MiniTrans: 6H Lebak Bulus-Senen
Metromini: P15
DSU: P157
AJA P: AC106

Note: Some terms may be specific to a particular language or region and may not have a direct translation. In such cases, the original term is maintained."
What public transportation is connected or accessible from the Balai Kota stop?,"Mayasari Bakti: P14, R507, Kopaja: T502, Metromini: P15, DAMRI: Gambir-Bandara Soekarno-Hatta.

Mayasari Bakti: P14, R507, Kopaja: T502, Metromini: P15, DAMRI: Gambir-Soekarno-Hatta Airport."
What public transportation is connected or accessible from the Gambir 2 stop?,"Mayasari Bakti: P14, R507, Kopaja: T502, Metromini: P15, DAMRI: Gambir-Bandara Soekarno-Hatta.

Mayasari Bakti: P14, R507, Kopaja: T502, Metromini: P15, DAMRI: Gambir-Soekarno-Hatta Airport."
What public transportation is connected or accessible from the Kwitang stop?,"AJA P: AC106, Mayasari Bakti: P14, R507, Kopaja: T502, P20, Metromini: P15"
What public transportation is connected or accessible from the Tanjung Priok stop?,"KRL Jabotabek di Stasiun Tanjung Priok (mulai 21 Desember 2015), Metromini: T41, U23, U24, DAMRI: Tanjung Priok-Bandara Soekarno-Hatta, Mayasari Bakti: AC25, AC42, P14, KWK: U01, U05, U06, U07, U08, U09, Mikrolet: M15, M15A, M30A, M49"
What public transportation is connected or accessible from the Enggano stop?,"Metromini: U23, T41, DAMRI: Tanjung Priok-Bandara Soekarno-Hatta, Mayasari Bakti: AC25, AC42, P14, KWK: U01, U05, U06, U07, U08, U09, Mikrolet: M30A, M49

Metromini: U23, T41, DAMRI: Tanjung Priok-Soekarno-Hatta Airport, Mayasari Bakti: AC25, AC42, P14, KWK: U01, U05, U06, U07, U08, U09, Mikrolet: M30A, M49"
What public transportation is connected or accessible from the Permai Koja stop?,"Metromini: T41, 
DAMRI: Tanjung Priok-Bandara Soekarno-Hatta, 
Mayasari Bakti: AC25, AC42, P14, 
Mikrolet: M30A, M49, 
KWK: U09

Metromini: T41,
DAMRI: Tanjung Priok-Soekarno-Hatta Airport,
Mayasari Bakti: AC25, AC42, P14,
Mikrolet: M30A, M49,
KWK: U09"
What public transportation is connected or accessible from the Walikota Jakarta Utara stop?,"Metromini: T41
PPD: 43
DAMRI: Tanjung Priok-Soekarno-Hatta Airport
Mayasari Bakti: AC25, AC42, P14
Mikrolet: M30A, M49
KWK: U09"
What public transportation is connected or accessible from the Plumpang Pertamina stop?,"Metromini: T41
PPD: 43
DAMRI: Tanjung Priok-Soekarno-Hatta Airport
Mayasari Bakti: AC25, AC42, P14
Mikrolet: M30A, M49
KWK: U09"
What public transportation is connected or accessible from the Sunter Kelapa Gading stop?,"Metromini: P07
Kopaja: U27
Mayasari Bakti: AC25, AC42, P14
Mikrolet: M30A, M49

Translation:
Metromini: P07
Kopaja: U27
Mayasari Bakti: AC25, AC42, P14
Mikrolet: M30A, M49"
What public transportation is connected or accessible from the Yos Sudarso Kodamar stop?,"Metromini: P07, Mayasari Bakti: P14, DAMRI: Kota Harapan Indah-Bandara Soekarno-Hatta, Pulo Gebang-Bandara Soekarno-Hatta

Metromini: P07, Mayasari Bakti: P14, DAMRI: Kota Harapan Indah-Bandara Soekarno-Hatta, Pulo Gebang-Bandara Soekarno-Hatta"
What public transportation is connected or accessible from the Cempaka Mas 2 stop?,"Metromini: P03, P07, T49, U24, x1, x2, Kopaja: T501, Mayasari Bakti: P14, P17, R51, R507, DAMRI: Kota Harapan Indah-Bandara Soekarno-Hatta, Pulo Gebang-Bandara Soekarno-Hatta, Mikrolet: M53 (No translation needed)"
What public transportation is connected or accessible from the Tanah Merdeka (Direction Kampung Melayu) stop?,"Metromini: T53, S76
Kopaja: T57, S605
Mayasari Bakti: AC02, AC02A, AC70, AC73, AC74A, AC117, P98A, P17A, P9B, P9BC, P9BT
DAMRI: Kampung Rambutan-Bandara Soekarno-Hatta
Mikrolet: M56
KWK: T3, T6, T19
Angkot Kota Depok/Kab. Bogor: D37, D112, D121, D121A, Miniarta
Koasi: K06, K28, K28A, K40, K44
Koantas Bima: 509, 510"
What public transportation is connected or accessible from the Ragunan stop?,"Kopaja: P19, S602, S68, S605A, Metromini: S77, Mikrolet: M42, KWK: S15A, S19, Jak Lingko: JAK 45 Lebak Bulus-Ragunan"
What public transportation is connected or accessible from the Departemen Pertanian stop?,"Kopaja: P19, S602, S68, S605A, Metromini: S77, Mikrolet: M42, KWK: S15A, S19

Kopaja: P19, S602, S68, S605A, Metromini: S77, Mikrolet: M42, KWK: S15A, S19"
What public transportation is connected or accessible from the SMK 57 stop?,"Kopaja: P20, S602, S68.
Metromini: S77.
Mikrolet: M42."
What public transportation is connected or accessible from the Jati Padang stop?,"Kopaja: P20, S68, S602, S614, Metromini: S77, S75, Mikrolet: M42 

Kopaja: P20, S68, S602, S614, Metromini: S77, S75, Mikrolet: M42"
What public transportation is connected or accessible from the Pejaten stop?,"Kopaja: P20
Metromini: S75
KWK: S05"
What public transportation is connected or accessible from the Buncit Indah stop?,"Kopaja: P20, S602, Metromini: S75

Kopaja: P20, S602, Metromini: S75"
What public transportation is connected or accessible from the Warung Jati stop?,"Kopaja: P20, S602, Metromini: S75, Mikrolet: M42

Translation: Kopaja: P20, S602, Metromini: S75, Mikrolet: M42"
What public transportation is connected or accessible from the Imigrasi Jakarta Selatan stop?,"Kopaja: P20, S612, S602, Metromini: S75

Kopaja: P20, S612, S602, Metromini: S75"
What public transportation is connected or accessible from the Duren Tiga stop?,"Kopaja: P20, S612, S602, Metromini: S75

Kopaja: P20, S612, S602, Metromini: S75"
What public transportation is connected or accessible from the Mampang Prapatan stop?,"Kopaja: P20, S612, S602, Metromini: S75, Mikrolet: M42

Kopaja: P20, S612, S602, Metromini: S75, Mikrolet: M42"
What public transportation is connected or accessible from the Kuningan Timur stop?,"Kopaja: P20, S66, S602, S620, Metromini: S640, AJA P: AC119

Kopaja: P20, S66, S602, S620, Metromini: S640, AJA P: AC119"
What public transportation is connected or accessible from the Patra Kuningan stop?,"Kopaja: P20, S66, S620."
What public transportation is connected or accessible from the Departemen Kesehatan stop?,"Kopaja: P20, S66, S620."
What public transportation is connected or accessible from the GOR Sumantri stop?,"Kopaja: P20, S66, S620."
What public transportation is connected or accessible from the Karet Kuningan stop?,"Kopaja: P20, S66, S620."
What public transportation is connected or accessible from the Kuningan Madya stop?,"Kopaja: P20, S66, S620."
What public transportation is connected or accessible from the Setiabudi Utara AINI stop?,"Kopaja: P20, S66, S620."
What public transportation is connected or accessible from the Sarinah stop?,"Metromini: S640, Kopaja: P19, Mayasari Bakti: AC52, AC52A, AC70, AC70A, AC70B, AC133, P50, Jasa Utama: P125, Bianglala: AC44, AC57

Metromini: S640, Kopaja: P19, Mayasari Bakti: AC52, AC52A, AC70, AC70A, AC70B, AC133, P50, Jasa Utama: P125, Bianglala: AC44, AC57"
What public transportation is connected or accessible from the Bank Indonesia stop?,"Metromini: S640, Kopaja: P19, Mayasari Bakti: AC52, AC52A, AC70A, AC70B, AC133, P14, P50, R507, Jasa Utama: P125, Bianglala: AC44, AC57

Metromini: S640
Kopaja: P19
Mayasari Bakti: AC52, AC52A, AC70A, AC70B, AC133, P14, P50, R507
Jasa Utama: P125
Bianglala: AC44, AC57"
What public transportation is connected or accessible from the Pluit stop?,"Kopami: P02, Kopaja: B87, Metromini: B30, KWK: B01, U10, U11

Kopami: P02, Kopaja: B87, Metromini: B30, KWK: B01, U10, U11"
What public transportation is connected or accessible from the Penjaringan stop?,"Kopami: P02
Kopaja: B87
Metromini: B30, B84
KWK: B01"
What public transportation is connected or accessible from the Jembatan Tiga stop?,"Kopaja: B87, Metromini: B30, B83, KWK: B01, Mikrolet: M40

Kopaja: B87, Metromini: B30, B83, KWK: B01, Mikrolet: M40"
What public transportation is connected or accessible from the Jembatan Dua stop?,"Kopaja: B86, Metromini: B83, KWK: B01, Mikrolet: M40

Bus: B86, Metromini: B83, KWK: B01, Mikrolet: M40"
What public transportation is connected or accessible from the Jembatan Besi stop?,"Kopaja: B86, Metromini: B83, KWK: B01, Mikrolet: M40

Bus: B86, Metromini: B83, KWK: B01, Mikrolet: M40"
What public transportation is connected or accessible from the Latumeten Grogol Station stop?,"KRL Jabotabek at Grogol Station, Kopaja: B86, Metromini: B83, KWK: B01, Mikrolet: M40."
What public transportation is connected or accessible from the Grogol 2 stop?,"Metromini: B82, B83, B91, B93, Kopaja: S13, B86, B88, B95, Mayasari Bakti: AC02X, AC29 (East Bekasi), AC42A, AJA P: P104, Mikrolet: M24, M25, M38, M40, M41, M43, M45, KWK: B01, B08, B17"
What public transportation is connected or accessible from the S. Parman Podomoro City stop?,"Metromini: B91, Kopaja: S13, B86, B88, B95, Mayasari Bakti: AC02X, AC29 (Bekasi Timur), AC42A, AJA P: P104, AJA P: P104"
What public transportation is connected or accessible from the RS Harapan Kita stop?,"Kopaja: S13, B86, B88, Mayasari Bakti: AC02X, AC29 (Bekasi Timur), AC34, AC42A, AJA P: AC138, AC119"
What public transportation is connected or accessible from the Slipi Kemanggisan stop?,"Kopaja: S13, B86, B88, Mayasari Bakti: AC02X, AC29 (Bekasi Timur), AC34, AC42A, AJA P: AC138, AC119"
What public transportation is connected or accessible from the Slipi Petamburan stop?,"Koantas Bima: P102, 
Kopaja: S13, B86, B88, 
Mayasari Bakti: AC02X, AC29 (Bekasi Timur), AC34, AC42A, 
AJA P: AC138, AC119"
What public transportation is connected or accessible from the Senayan JCC stop?,"Kopaja: S13, Mayasari Bakti: AC34

Kopaja: S13, Mayasari Bakti: AC34"
What public transportation is connected or accessible from the Semanggi stop?,"MRT Jakarta at Bendungan Hilir station, Metromini: S640, P15, Kopaja: S66, S602, P19, Mayasari Bakti: AC05 (West Bekasi), AC05 (East Bekasi), AC52A, AC70, AC70A, AC121, AC121A, DAMRI: Thamrin City-Soekarno-Hatta Airport."
What public transportation is connected or accessible from the Gatot Subroto LIPI stop?,"Metromini: S640, P15, Kopaja: S66, S602, P19, Mayasari Bakti: AC05 (West Bekasi), AC05 (East Bekasi), AC52A, AC70, AC70A, AC121, AC121A"
What public transportation is connected or accessible from the Gatot Subroto Jamsostek stop?,"Kopaja: S66, S602, Metromini: S640

Kopaja: S66, S602, Metromini: S640"
What public transportation is connected or accessible from the Kuningan Barat stop?,"Kopaja: P20, S66, S602, S620, Metromini: S640"
What public transportation is connected or accessible from the Tegal Parang stop?,Metromini: S640
What public transportation is connected or accessible from the Pancoran Barat stop?,"Kopaja: S612, S616, Metromini: S640"
What public transportation is connected or accessible from the Pancoran Tugu stop?,Kopaja: S68
What public transportation is connected or accessible from the Tebet BUMD stop?,Kopaja: S68
What public transportation is connected or accessible from the Cikoko Cawang Station stop?,"KRL Jabotabek at Cawang Station, Kopaja: S68"
What public transportation is connected or accessible from the Cawang Ciliwung stop?,"Metromini: S64, Mayasari Bakti: AC02, AJA P: AC119. Agra Mas: Cililitan-Soekarno-Hatta Airport."
What public transportation is connected or accessible from the Cawang UKI (Direction Pluit) stop?,"Kowanbisata: x3, Metromini: S64, T58, Mayasari Bakti: AC02, AC74A, AC117, P98A, P9BT, DAMRI: Bogor-Bandara Halim, Mikrolet: M04, M19, M29, Koasi: K58, Angkot: D56, Agra Mas: Cililitan-Bandara Soekarno-Hatta

Kowanbisata: x3, Metromini: S64, T58, Mayasari Bakti: AC02, AC74A, AC117, P98A, P9BT, DAMRI: Bogor-Halim Airport, Mikrolet: M04, M19, M29, Koasi: K58, Angkot: D56, Agra Mas: Cililitan-Soekarno-Hatta Airport"
What public transportation is connected or accessible from the PGC 2 stop?,"Kopaja: T57, Metromini: S64, T58, PPD: 41, 43, 45, KWK: T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15, T15A, T16, T17, Mikrolet: M04, M06, M06A, M28, M29, Trans Halim: Halim-Cililitan, Agra Mas: Cililitan-Bandara, BKTB PGC-Harmoni"
What public transportation is connected or accessible from the Kebayoran Lama stop?,"KRL Jabotabek at Kebayoran Station, Kopaja: B86, S608, S609, Metromini: S70, S71, B85, DAMRI: Lebak Bulus-Airport, Deborah (Kalideres-Depok), Mikrolet: M09, M09A, KWK: S03, S06, S19, Angkot: C01, D01"
